Year,Runtype,Indicator,medval,lowval,highval,combined,
2039,ProgAnyDisease_AI,cumulative_incDn,51315.93827,31132.19957,73688.45012,"51.3 (31.1, 73.7) million",
2039,ProgAnyDisease_AI,cumulative_mort,3082.511174,2662.807184,3591.06077,"3.1 (2.7, 3.6) million",
2040,ProgAnyDisease_AI,cumulative_incDc,19384.87769,16694.18601,23743.04405,"19.4 (16.7, 23.7) million",
2040,ProgAnyDisease_AI,cumulative_incDs,47960.03421,37262.85156,60944.09951,"48 (37.3, 60.9) million",
2040,ProgAnyDisease_AI,cumulative_incDsDc,67395.60291,53886.51977,83404.14462,"67.4 (53.9, 83.4) million",
2040,ProgAnyDisease_AI,cumulative_incDn,54918.47693,33218.33507,78984.30206,"54.9 (33.2, 79) million",
2040,ProgAnyDisease_AI,cumulative_mort,3317.458508,2854.218193,3871.665021,"3.3 (2.9, 3.9) million",
2041,ProgAnyDisease_AI,cumulative_incDc,20635.5907,17739.99228,25313.22888,"20.6 (17.7, 25.3) million",
2041,ProgAnyDisease_AI,cumulative_incDs,50971.35324,39560.8617,64915.33334,"51 (39.6, 64.9) million",
2041,ProgAnyDisease_AI,cumulative_incDsDc,71631.68964,57323.0324,88839.89056,"71.6 (57.3, 88.8) million",
2041,ProgAnyDisease_AI,cumulative_incDn,58283.09046,35157.57967,83910.21028,"58.3 (35.2, 83.9) million",
2041,ProgAnyDisease_AI,cumulative_mort,3530.090761,3030.976458,4134.653783,"3.5 (3, 4.1) million",
2042,ProgAnyDisease_AI,cumulative_incDc,21791.5597,18716.37784,26753.50526,"21.8 (18.7, 26.8) million",
2042,ProgAnyDisease_AI,cumulative_incDs,53771.42579,41716.4611,68651.71141,"53.8 (41.7, 68.7) million",
2042,ProgAnyDisease_AI,cumulative_incDsDc,75561.92641,60551.33293,94091.2354,"75.6 (60.6, 94.1) million",
2042,ProgAnyDisease_AI,cumulative_incDn,61496.95666,36974.05636,88496.67921,"61.5 (37, 88.5) million",
2042,ProgAnyDisease_AI,cumulative_mort,3732.58607,3197.65316,4381.941664,"3.7 (3.2, 4.4) million",
2043,ProgAnyDisease_AI,cumulative_incDc,22878.68096,19630.97,28096.51189,"22.9 (19.6, 28.1) million",
2043,ProgAnyDisease_AI,cumulative_incDs,56474.76633,43789.63188,72157.75515,"56.5 (43.8, 72.2) million",
2043,ProgAnyDisease_AI,cumulative_incDsDc,79437.14073,63586.68837,99059.91921,"79.4 (63.6, 99.1) million",
2043,ProgAnyDisease_AI,cumulative_incDn,64493.4393,38682.67009,92837.91402,"64.5 (38.7, 92.8) million",
2043,ProgAnyDisease_AI,cumulative_mort,3919.23227,3352.685463,4613.539277,"3.9 (3.4, 4.6) million",
2044,ProgAnyDisease_AI,cumulative_incDc,23905.82669,20482.76704,29365.62211,"23.9 (20.5, 29.4) million",
2044,ProgAnyDisease_AI,cumulative_incDs,59039.33007,45758.02035,75443.0321,"59 (45.8, 75.4) million",
2044,ProgAnyDisease_AI,cumulative_incDsDc,83050.54181,66356.22807,103633.3103,"83.1 (66.4, 103.6) million",
2044,ProgAnyDisease_AI,cumulative_incDn,67383.03836,40295.55855,96971.1606,"67.4 (40.3, 97) million",
2044,ProgAnyDisease_AI,cumulative_mort,4101.223297,3496.797598,4832.04381,"4.1 (3.5, 4.8) million",
2045,ProgAnyDisease_AI,cumulative_incDc,24874.08052,21271.06432,30570.96479,"24.9 (21.3, 30.6) million",
2045,ProgAnyDisease_AI,cumulative_incDs,61478.04796,47621.52452,78582.12775,"61.5 (47.6, 78.6) million",
2045,ProgAnyDisease_AI,cumulative_incDsDc,86414.43179,68866.99865,108014.9314,"86.4 (68.9, 108) million",
2045,ProgAnyDisease_AI,cumulative_incDn,70105.30099,41822.30241,100924.3862,"70.1 (41.8, 100.9) million",
2045,ProgAnyDisease_AI,cumulative_mort,4271.609292,3631.156279,5048.136379,"4.3 (3.6, 5) million",
2046,ProgAnyDisease_AI,cumulative_incDc,25783.15043,22021.97564,31717.71706,"25.8 (22, 31.7) million",
2046,ProgAnyDisease_AI,cumulative_incDs,63828.51167,49345.79842,81557.58221,"63.8 (49.3, 81.6) million",
2046,ProgAnyDisease_AI,cumulative_incDsDc,89664.72957,71256.74272,112194.2225,"89.7 (71.3, 112.2) million",
2046,ProgAnyDisease_AI,cumulative_incDn,72626.06882,43271.0339,104695.7905,"72.6 (43.3, 104.7) million",
2046,ProgAnyDisease_AI,cumulative_mort,4432.337784,3757.619254,5255.543665,"4.4 (3.8, 5.3) million",
2047,ProgAnyDisease_AI,cumulative_incDc,26641.31758,22747.33396,32843.57944,"26.6 (22.7, 32.8) million",
2047,ProgAnyDisease_AI,cumulative_incDs,66026.00767,50909.52817,84368.62952,"66 (50.9, 84.4) million",
2047,ProgAnyDisease_AI,cumulative_incDsDc,92795.09894,73575.09435,116193.3185,"92.8 (73.6, 116.2) million",
2047,ProgAnyDisease_AI,cumulative_incDn,75033.13015,44644.09676,108424.2296,"75 (44.6, 108.4) million",
2047,ProgAnyDisease_AI,cumulative_mort,4581.992861,3876.991274,5457.573273,"4.6 (3.9, 5.5) million",
2048,ProgAnyDisease_AI,cumulative_incDc,27485.10009,23414.20784,33929.05018,"27.5 (23.4, 33.9) million",
2048,ProgAnyDisease_AI,cumulative_incDs,68130.17902,52397.69405,87066.74751,"68.1 (52.4, 87.1) million",
2048,ProgAnyDisease_AI,cumulative_incDsDc,95815.37817,75691.67096,119995.0933,"95.8 (75.7, 120) million",
2048,ProgAnyDisease_AI,cumulative_incDn,77405.35741,45948.29601,112048.1848,"77.4 (45.9, 112) million",
2048,ProgAnyDisease_AI,cumulative_mort,4726.038086,3989.973388,5644.418733,"4.7 (4, 5.6) million",
2049,ProgAnyDisease_AI,cumulative_incDc,28281.86615,24034.51132,35019.97941,"28.3 (24, 35) million",
2049,ProgAnyDisease_AI,cumulative_incDs,70187.37232,53922.67467,89647.66664,"70.2 (53.9, 89.6) million",
2049,ProgAnyDisease_AI,cumulative_incDsDc,98654.63245,77705.47161,123566.0275,"98.7 (77.7, 123.6) million",
2049,ProgAnyDisease_AI,cumulative_incDn,79748.03947,47194.24926,115428.4489,"79.7 (47.2, 115.4) million",
2049,ProgAnyDisease_AI,cumulative_mort,4864.08315,4097.180802,5825.739316,"4.9 (4.1, 5.8) million",
2050,ProgAnyDisease_AI,cumulative_incDc,29035.1628,24651.92122,36080.30594,"29 (24.7, 36.1) million","29.04 (24.65, 36.08)"
2050,ProgAnyDisease_AI,cumulative_incDs,72160.11603,55388.24788,92121.90232,"72.2 (55.4, 92.1) million","72.16 (55.39, 92.12)"
2050,ProgAnyDisease_AI,cumulative_incDsDc,101357.5894,79708.32548,127125.5751,"101.4 (79.7, 127.1) million","101.36 (79.71, 127.13)"
2050,ProgAnyDisease_AI,cumulative_incDn,82029.54638,48387.05143,118624.5766,"82 (48.4, 118.6) million","82.03 (48.39, 118.62)"
2050,ProgAnyDisease_AI,cumulative_mort,4995.672466,4199.153295,6000.459961,"5 (4.2, 6) million","5 (4.2, 6)"
2030,ProgAnyDisease_AI_20y,cumulative_incDc,2221.681642,1942.066695,2672.271507,"2.2 (1.9, 2.7) million",
2030,ProgAnyDisease_AI_20y,cumulative_incDs,5501.556674,4353.790522,6886.26719,"5.5 (4.4, 6.9) million",
2030,ProgAnyDisease_AI_20y,cumulative_incDsDc,7717.1596,6312.156868,9412.382746,"7.7 (6.3, 9.4) million",
2030,ProgAnyDisease_AI_20y,cumulative_incDn,6477.35425,4072.980638,9209.376162,"6.5 (4.1, 9.2) million",
2030,ProgAnyDisease_AI_20y,cumulative_mort,373.5681563,333.2049387,430.1900628,"0.4 (0.3, 0.4) million",
2031,ProgAnyDisease_AI_20y,cumulative_incDc,4359.547713,3799.13626,5242.14607,"4.4 (3.8, 5.2) million",
2031,ProgAnyDisease_AI_20y,cumulative_incDs,10791.04839,8507.731524,13521.90436,"10.8 (8.5, 13.5) million",
2031,ProgAnyDisease_AI_20y,cumulative_incDsDc,15116.59645,12326.22054,18492.08306,"15.1 (12.3, 18.5) million",
2031,ProgAnyDisease_AI_20y,cumulative_incDn,12603.74851,7892.946979,17953.40191,"12.6 (7.9, 18) million",
2031,ProgAnyDisease_AI_20y,cumulative_mort,734.6549109,652.6149717,846.8363843,"0.7 (0.7, 0.8) million",
2032,ProgAnyDisease_AI_20y,cumulative_incDc,6381.834338,5558.970099,7698.138087,"6.4 (5.6, 7.7) million",
2032,ProgAnyDisease_AI_20y,cumulative_incDs,15837.38813,12445.26948,19862.5195,"15.8 (12.4, 19.9) million",
2032,ProgAnyDisease_AI_20y,cumulative_incDsDc,22188.53651,18038.98411,27188.90611,"22.2 (18, 27.2) million",
2032,ProgAnyDisease_AI_20y,cumulative_incDn,18347.29585,11446.98867,26209.26392,"18.3 (11.4, 26.2) million",
2032,ProgAnyDisease_AI_20y,cumulative_mort,1080.557552,956.4213872,1246.930664,"1.1 (1, 1.2) million",
2033,ProgAnyDisease_AI_20y,cumulative_incDc,8306.108871,7212.145153,10053.33445,"8.3 (7.2, 10.1) million",
2033,ProgAnyDisease_AI_20y,cumulative_incDs,20594.63309,16154.94996,25882.11552,"20.6 (16.2, 25.9) million",
2033,ProgAnyDisease_AI_20y,cumulative_incDsDc,28864.63515,23410.08161,35462.84894,"28.9 (23.4, 35.5) million",
2033,ProgAnyDisease_AI_20y,cumulative_incDn,23686.93424,14735.03121,33921.95225,"23.7 (14.7, 33.9) million",
2033,ProgAnyDisease_AI_20y,cumulative_mort,1410.103232,1243.877578,1630.250913,"1.4 (1.2, 1.6) million",
2034,ProgAnyDisease_AI_20y,cumulative_incDc,10124.59034,8763.727279,12261.17933,"10.1 (8.8, 12.3) million",
2034,ProgAnyDisease_AI_20y,cumulative_incDs,25020.29881,19630.9963,31564.53003,"25 (19.6, 31.6) million",
2034,ProgAnyDisease_AI_20y,cumulative_incDsDc,35116.14248,28452.98217,43284.07108,"35.1 (28.5, 43.3) million",
2034,ProgAnyDisease_AI_20y,cumulative_incDn,28692.34221,17778.01804,41099.10442,"28.7 (17.8, 41.1) million",
2034,ProgAnyDisease_AI_20y,cumulative_mort,1723.10836,1514.643418,1994.910575,"1.7 (1.5, 2) million",
2035,ProgAnyDisease_AI_20y,cumulative_incDc,11819.38136,10237.91741,14375.23188,"11.8 (10.2, 14.4) million",
2035,ProgAnyDisease_AI_20y,cumulative_incDs,29263.35354,22908.39693,36939.27469,"29.3 (22.9, 36.9) million",
2035,ProgAnyDisease_AI_20y,cumulative_incDsDc,41074.1875,33199.82987,50726.80824,"41.1 (33.2, 50.7) million",
2035,ProgAnyDisease_AI_20y,cumulative_incDn,33495.57279,20630.48635,47904.19962,"33.5 (20.6, 47.9) million",
2035,ProgAnyDisease_AI_20y,cumulative_mort,2016.559238,1768.519693,2336.117494,"2 (1.8, 2.3) million",
2036,ProgAnyDisease_AI_20y,cumulative_incDc,13450.28727,11629.34573,16351.60017,"13.5 (11.6, 16.4) million",
2036,ProgAnyDisease_AI_20y,cumulative_incDs,33264.9715,25997.22789,42025.15065,"33.3 (26, 42) million",
2036,ProgAnyDisease_AI_20y,cumulative_incDsDc,46662.94261,37677.38775,57652.73704,"46.7 (37.7, 57.7) million",
2036,ProgAnyDisease_AI_20y,cumulative_incDn,37962.5553,23311.25432,54357.04083,"38 (23.3, 54.4) million",
2036,ProgAnyDisease_AI_20y,cumulative_mort,2296.80866,2006.279261,2660.88049,"2.3 (2, 2.7) million",
2037,ProgAnyDisease_AI_20y,cumulative_incDc,14977.65893,12945.10403,18228.09237,"15 (12.9, 18.2) million",
2037,ProgAnyDisease_AI_20y,cumulative_incDs,37050.37251,28901.22762,46840.82394,"37.1 (28.9, 46.8) million",
2037,ProgAnyDisease_AI_20y,cumulative_incDsDc,52038.71471,41906.0984,64209.03269,"52 (41.9, 64.2) million",
2037,ProgAnyDisease_AI_20y,cumulative_incDn,42194.15732,25834.69077,60496.0884,"42.2 (25.8, 60.5) million",
2037,ProgAnyDisease_AI_20y,cumulative_mort,2560.372329,2227.873953,2970.301578,"2.6 (2.2, 3) million",
2038,ProgAnyDisease_AI_20y,cumulative_incDc,16428.82878,14184.07325,20028.32419,"16.4 (14.2, 20) million",
2038,ProgAnyDisease_AI_20y,cumulative_incDs,40655.87878,31654.6005,51448.16114,"40.7 (31.7, 51.4) million",
2038,ProgAnyDisease_AI_20y,cumulative_incDsDc,57055.63549,45822.76953,70470.02905,"57.1 (45.8, 70.5) million",
2038,ProgAnyDisease_AI_20y,cumulative_incDn,46270.05067,28213.33664,66329.22129,"46.3 (28.2, 66.3) million",
2038,ProgAnyDisease_AI_20y,cumulative_mort,2810.6053,2435.996931,3266.666754,"2.8 (2.4, 3.3) million",
2039,ProgAnyDisease_AI_20y,cumulative_incDc,17794.02202,15347.61904,21743.86964,"17.8 (15.3, 21.7) million",
2039,ProgAnyDisease_AI_20y,cumulative_incDs,44007.52607,34262.68642,55812.44207,"44 (34.3, 55.8) million",
2039,ProgAnyDisease_AI_20y,cumulative_incDsDc,61825.40809,49513.77918,76534.0459,"61.8 (49.5, 76.5) million",
2039,ProgAnyDisease_AI_20y,cumulative_incDn,50165.76015,30458.40742,71958.36445,"50.2 (30.5, 72) million",
2039,ProgAnyDisease_AI_20y,cumulative_mort,3048.998916,2631.089908,3549.880573,"3 (2.6, 3.5) million",
2040,ProgAnyDisease_AI_20y,cumulative_incDc,19067.62413,16419.31283,23320.83276,"19.1 (16.4, 23.3) million",
2040,ProgAnyDisease_AI_20y,cumulative_incDs,47057.46588,36591.35729,59888.99856,"47.1 (36.6, 59.9) million",
2040,ProgAnyDisease_AI_20y,cumulative_incDsDc,66172.07497,53013.06372,82079.29437,"66.2 (53, 82.1) million",
2040,ProgAnyDisease_AI_20y,cumulative_incDn,53513.85657,32407.31044,76907.78787,"53.5 (32.4, 76.9) million",
2040,ProgAnyDisease_AI_20y,cumulative_mort,3267.877377,2812.356046,3818.496313,"3.3 (2.8, 3.8) million",
2041,ProgAnyDisease_AI_20y,cumulative_incDc,20229.40036,17400.26372,24738.56492,"20.2 (17.4, 24.7) million",
2041,ProgAnyDisease_AI_20y,cumulative_incDs,49897.63003,38741.23171,63584.7151,"49.9 (38.7, 63.6) million",
2041,ProgAnyDisease_AI_20y,cumulative_incDsDc,70147.15761,56256.75063,87208.6888,"70.1 (56.3, 87.2) million",
2041,ProgAnyDisease_AI_20y,cumulative_incDn,56641.22719,34197.75038,81463.31087,"56.6 (34.2, 81.5) million",
2041,ProgAnyDisease_AI_20y,cumulative_mort,3473.020207,2981.599598,4068.499866,"3.5 (3, 4.1) million",
2042,ProgAnyDisease_AI_20y,cumulative_incDc,21314.25055,18307.4683,26052.50624,"21.3 (18.3, 26.1) million",
2042,ProgAnyDisease_AI_20y,cumulative_incDs,52595.78861,40809.21313,67074.12249,"52.6 (40.8, 67.1) million",
2042,ProgAnyDisease_AI_20y,cumulative_incDsDc,73935.38913,59274.33634,92106.49829,"73.9 (59.3, 92.1) million",
2042,ProgAnyDisease_AI_20y,cumulative_incDn,59494.54456,35853.52762,85643.26588,"59.5 (35.9, 85.6) million",
2042,ProgAnyDisease_AI_20y,cumulative_mort,3665.563667,3137.802945,4298.044697,"3.7 (3.1, 4.3) million",
2043,ProgAnyDisease_AI_20y,cumulative_incDc,22313.66685,19149.18478,27273.05017,"22.3 (19.1, 27.3) million",
2043,ProgAnyDisease_AI_20y,cumulative_incDs,55035.76906,42730.21748,70295.98009,"55 (42.7, 70.3) million",
2043,ProgAnyDisease_AI_20y,cumulative_incDsDc,77469.01809,62062.10437,96575.44871,"77.5 (62.1, 96.6) million",
2043,ProgAnyDisease_AI_20y,cumulative_incDn,62187.9258,37390.11569,89533.69387,"62.2 (37.4, 89.5) million",
2043,ProgAnyDisease_AI_20y,cumulative_mort,3843.153658,3281.261759,4515.897841,"3.8 (3.3, 4.5) million",
2044,ProgAnyDisease_AI_20y,cumulative_incDc,23231.90074,19901.18797,28449.86328,"23.2 (19.9, 28.4) million",
2044,ProgAnyDisease_AI_20y,cumulative_incDs,57336.82888,44475.49596,73298.79198,"57.3 (44.5, 73.3) million",
2044,ProgAnyDisease_AI_20y,cumulative_incDsDc,80758.19894,64502.26722,100647.7665,"80.8 (64.5, 100.6) million",
2044,ProgAnyDisease_AI_20y,cumulative_incDn,64665.49342,38820.46666,93195.76771,"64.7 (38.8, 93.2) million",
2044,ProgAnyDisease_AI_20y,cumulative_mort,4009.890312,3413.336536,4728.818366,"4 (3.4, 4.7) million",
2045,ProgAnyDisease_AI_20y,cumulative_incDc,24096.55354,20580.55837,29561.45559,"24.1 (20.6, 29.6) million",
2045,ProgAnyDisease_AI_20y,cumulative_incDs,59564.77748,46079.56015,76191.1241,"59.6 (46.1, 76.2) million",
2045,ProgAnyDisease_AI_20y,cumulative_incDsDc,83827.03349,66726.41876,104555.6462,"83.8 (66.7, 104.6) million",
2045,ProgAnyDisease_AI_20y,cumulative_incDn,66954.27912,40152.94867,96628.51824,"67 (40.2, 96.6) million",
2045,ProgAnyDisease_AI_20y,cumulative_mort,4163.441136,3535.36805,4927.378088,"4.2 (3.5, 4.9) million",
2046,ProgAnyDisease_AI_20y,cumulative_incDc,24919.48477,21265.05052,30629.58641,"24.9 (21.3, 30.6) million",
2046,ProgAnyDisease_AI_20y,cumulative_incDs,61626.23486,47576.12881,78841.45725,"61.6 (47.6, 78.8) million",
2046,ProgAnyDisease_AI_20y,cumulative_incDsDc,86788.42325,68859.40964,108222.306,"86.8 (68.9, 108.2) million",
2046,ProgAnyDisease_AI_20y,cumulative_incDn,69129.20843,41390.04228,99889.47607,"69.1 (41.4, 99.9) million",
2046,ProgAnyDisease_AI_20y,cumulative_mort,4305.295097,3648.184923,5109.720755,"4.3 (3.6, 5.1) million",
2047,ProgAnyDisease_AI_20y,cumulative_incDc,25685.95501,21902.01353,31664.29822,"25.7 (21.9, 31.7) million",
2047,ProgAnyDisease_AI_20y,cumulative_incDs,63548.40243,48971.39622,81307.31812,"63.5 (49, 81.3) million",
2047,ProgAnyDisease_AI_20y,cumulative_incDsDc,89481.35359,70859.04869,111576.9763,"89.5 (70.9, 111.6) million",
2047,ProgAnyDisease_AI_20y,cumulative_incDn,71213.71864,42549.04351,103079.3405,"71.2 (42.5, 103.1) million",
2047,ProgAnyDisease_AI_20y,cumulative_mort,4441.239019,3753.00071,5283.253017,"4.4 (3.8, 5.3) million",
2048,ProgAnyDisease_AI_20y,cumulative_incDc,26390.22185,22479.87401,32616.21336,"26.4 (22.5, 32.6) million",
2048,ProgAnyDisease_AI_20y,cumulative_incDs,65266.76834,50226.63704,83625.51608,"65.3 (50.2, 83.6) million",
2048,ProgAnyDisease_AI_20y,cumulative_incDsDc,91941.33443,72657.56214,114756.2615,"91.9 (72.7, 114.8) million",
2048,ProgAnyDisease_AI_20y,cumulative_incDn,73225.32887,43637.47784,106094.2902,"73.2 (43.6, 106.1) million",
2048,ProgAnyDisease_AI_20y,cumulative_mort,4565.581553,3850.935375,5448.489246,"4.6 (3.9, 5.4) million",
2049,ProgAnyDisease_AI_20y,cumulative_incDc,27067.18111,23023.02831,33507.62397,"27.1 (23, 33.5) million",
2049,ProgAnyDisease_AI_20y,cumulative_incDs,66860.44424,51507.28642,85809.45468,"66.9 (51.5, 85.8) million",
2049,ProgAnyDisease_AI_20y,cumulative_incDsDc,94343.41607,74340.36164,117925.1599,"94.3 (74.3, 117.9) million",
2049,ProgAnyDisease_AI_20y,cumulative_incDn,75158.02965,44662.06386,108801.5955,"75.2 (44.7, 108.8) million",
2049,ProgAnyDisease_AI_20y,cumulative_mort,4682.819956,3942.66251,5605.402281,"4.7 (3.9, 5.6) million",
2050,ProgAnyDisease_AI_20y,cumulative_incDc,27740.01425,23550.48612,34389.80097,"27.7 (23.6, 34.4) million",
2050,ProgAnyDisease_AI_20y,cumulative_incDs,68422.84632,52687.95748,87871.11963,"68.4 (52.7, 87.9) million",
2050,ProgAnyDisease_AI_20y,cumulative_incDsDc,96582.25942,75918.66666,121074.4502,"96.6 (75.9, 121.1) million",
2050,ProgAnyDisease_AI_20y,cumulative_incDn,76919.30118,45634.9958,111441.7712,"76.9 (45.6, 111.4) million",
2050,ProgAnyDisease_AI_20y,cumulative_mort,4790.743086,4028.782108,5752.658354,"4.8 (4, 5.8) million",
2030,ProgAnyDisease_AI_25,cumulative_incDc,2227.354311,1949.446105,2683.550398,"2.2 (1.9, 2.7) million",
2030,ProgAnyDisease_AI_25,cumulative_incDs,5530.902638,4379.765284,6913.850017,"5.5 (4.4, 6.9) million",
2030,ProgAnyDisease_AI_25,cumulative_incDsDc,7754.591679,6343.700305,9441.66834,"7.8 (6.3, 9.4) million",
2030,ProgAnyDisease_AI_25,cumulative_incDn,6567.373609,4123.006175,9331.71269,"6.6 (4.1, 9.3) million",
2030,ProgAnyDisease_AI_25,cumulative_mort,374.1907467,333.5576427,430.7743373,"0.4 (0.3, 0.4) million",
2031,ProgAnyDisease_AI_25,cumulative_incDc,4388.176264,3830.027582,5290.122298,"4.4 (3.8, 5.3) million",
2031,ProgAnyDisease_AI_25,cumulative_incDs,10883.32967,8601.438965,13634.98619,"10.9 (8.6, 13.6) million",
2031,ProgAnyDisease_AI_25,cumulative_incDsDc,15264.87548,12449.7335,18616.8909,"15.3 (12.4, 18.6) million",
2031,ProgAnyDisease_AI_25,cumulative_incDn,12907.05786,8061.361422,18347.72804,"12.9 (8.1, 18.3) million",
2031,ProgAnyDisease_AI_25,cumulative_mort,737.2335324,655.217369,851.4847203,"0.7 (0.7, 0.9) million",
2032,ProgAnyDisease_AI_25,cumulative_incDc,6472.64384,5639.571108,7813.913603,"6.5 (5.6, 7.8) million",
